speaker,annot.clip,start.ms,stop.ms,addressee,spkr.n.increments,spkr.prev.increment.start,spkr.prev.increment.stop,spkr.post.increment.start,spkr.post.increment.stop,prompt.spkr,prompt.start.ms,prompt.stop.ms,prompt.n.increments,prompt.prev.increment.start,prompt.prev.increment.stop,response.spkr,response.start.ms,response.stop.ms,response.n.increments,response.post.increment.start,response.post.increment.stop,intseq.num,intseq.start.spkr,intseq.start.ms,intseq.stop.spkr,intseq.stop.ms,vocseq.num,vocseq.start.ms,vocseq.stop.ms,random.run.num
Child Utterances,annotated-315193_660612-1,319029,319589,NA,1,NA,NA,NA,NA,Parent Utterances,318368,318948,3,315782,317042,Parent Utterances,319505,320105,3,323226,324651,1,Parent Utterances,315782,Parent Utterances,337304,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,323980,324680,NA,1,NA,NA,NA,NA,Parent Utterances,323226,324651,3,319505,320105,Parent Utterances,325270,325810,1,NA,NA,1,Parent Utterances,315782,Parent Utterances,337304,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,325370,325610,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,326423,327203,1,NA,NA,1,Parent Utterances,315782,Parent Utterances,337304,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,328570,329320,NA,1,NA,NA,NA,NA,Parent Utterances,326423,327203,1,NA,NA,Parent Utterances,330912,331822,1,NA,NA,1,Parent Utterances,315782,Parent Utterances,337304,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,332677,333187,NA,1,NA,NA,NA,NA,Parent Utterances,331990,332850,1,NA,NA,Parent Utterances,333851,335941,2,336734,337304,1,Parent Utterances,315782,Parent Utterances,337304,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,333679,334109,NA,1,NA,NA,NA,NA,Parent Utterances,330912,331822,1,NA,NA,NA,NA,NA,NA,NA,NA,1,Parent Utterances,315782,Parent Utterances,337304,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,356734,357104,NA,1,NA,NA,NA,NA,Parent Utterances,353342,356132,1,NA,NA,Parent Utterances,357859,360749,1,NA,NA,2,Parent Utterances,353342,Parent Utterances,365356,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,361732,363542,NA,1,NA,NA,NA,NA,Parent Utterances,357859,360749,1,NA,NA,Parent Utterances,363996,365356,1,NA,NA,2,Parent Utterances,353342,Parent Utterances,365356,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,367720,368620,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,368439,369009,2,370093,370893,3,Child Utterances,367720,Parent Utterances,374311,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,370718,372018,NA,1,NA,NA,NA,NA,Parent Utterances,370093,370893,2,368439,369009,Parent Utterances,372631,374311,1,NA,NA,3,Child Utterances,367720,Parent Utterances,374311,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,376993,377563,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,376993,377563,1
Child Utterances,annotated-315193_660612-1,390044,391524,NA,1,NA,NA,NA,NA,Parent Utterances,389522,390342,2,385120,388630,Parent Utterances,390791,392441,2,393600,394400,4,Parent Utterances,385120,Child Utterances,396230,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,395870,396230,NA,1,NA,NA,NA,NA,Parent Utterances,393600,394400,2,390791,392441,NA,NA,NA,NA,NA,NA,4,Parent Utterances,385120,Child Utterances,396230,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,411818,412158,NA,1,NA,NA,NA,NA,Parent Utterances,410422,411812,6,400534,401024,NA,NA,NA,NA,NA,NA,5,Parent Utterances,400534,Child Utterances,412158,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,419720,419920,NA,1,NA,NA,NA,NA,Parent Utterances,416018,419378,2,414981,415821,Parent Utterances,420900,421630,1,NA,NA,6,Parent Utterances,414981,Parent Utterances,430576,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,423062,424642,NA,1,NA,NA,NA,NA,Parent Utterances,420900,421630,1,NA,NA,Parent Utterances,426062,426382,1,NA,NA,6,Parent Utterances,414981,Parent Utterances,430576,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,426121,427731,NA,1,NA,NA,NA,NA,Parent Utterances,426062,426382,1,NA,NA,Parent Utterances,426984,427934,1,NA,NA,6,Parent Utterances,414981,Parent Utterances,430576,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,428197,428807,NA,1,NA,NA,NA,NA,Parent Utterances,426984,427934,1,NA,NA,Parent Utterances,429396,430576,1,NA,NA,6,Parent Utterances,414981,Parent Utterances,430576,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,434557,435207,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,435362,436032,1,NA,NA,7,Child Utterances,434557,Parent Utterances,439691,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,437360,437950,NA,1,NA,NA,NA,NA,Parent Utterances,435362,436032,1,NA,NA,Parent Utterances,438831,439691,1,NA,NA,7,Child Utterances,434557,Parent Utterances,439691,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,443624,445924,NA,2,NA,NA,446542,447012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Child Utterances,443624,Parent Utterances,464789,NA,NA,NA,1
Child Utterances,annotated-315193_660612-1,446542,447012,NA,2,443624,445924,NA,NA,NA,NA,NA,NA,NA,NA,Parent Utterances,448109,449339,1,NA,NA,8,Child Utterances,443624,Parent Utterances,464789,NA,NA,NA,1
