speaker,annot.clip,start.ms,stop.ms,addressee,spkr.n.increments,spkr.prev.increment.start,spkr.prev.increment.stop,spkr.post.increment.start,spkr.post.increment.stop,prompt.spkr,prompt.start.ms,prompt.stop.ms,prompt.n.increments,prompt.prev.increment.start,prompt.prev.increment.stop,response.spkr,response.start.ms,response.stop.ms,response.n.increments,response.post.increment.start,response.post.increment.stop,intseq.num,intseq.start.spkr,intseq.start.ms,intseq.stop.spkr,intseq.stop.ms,vocseq.num,vocseq.start.ms,vocseq.stop.ms,random.run.num
KCHI,annotated-13993_45847274-1,122652,125239,NA,1,NA,NA,NA,NA,SPEECH,120429,122447,1,NA,NA,NA,NA,NA,NA,NA,NA,1,SPEECH,120429,KCHI,125239,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,143476,145194,NA,2,NA,NA,145356,148191,FEM,141247,143719,1,NA,NA,NA,NA,NA,NA,NA,NA,2,FEM,141247,MAL,149913,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,145356,148191,NA,2,143476,145194,NA,NA,NA,NA,NA,NA,NA,NA,MAL,149763,149913,1,NA,NA,2,FEM,141247,MAL,149913,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,227546,229546,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,227546,229546,1
KCHI,annotated-13993_45847274-1,340392,342088,NA,1,NA,NA,NA,NA,SPEECH,339704,340313,1,NA,NA,NA,NA,NA,NA,NA,NA,3,SPEECH,339704,KCHI,342088,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,433295,434817,NA,2,NA,NA,436351,443275,FEM,432067,433299,1,NA,NA,NA,NA,NA,NA,NA,NA,4,FEM,432067,KCHI,443275,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,436351,443275,NA,2,433295,434817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FEM,432067,KCHI,443275,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,471980,472960,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPEECH,472596,473403,1,NA,NA,5,KCHI,471980,SPEECH,473403,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,506335,506951,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FEM,505358,FEM,512049,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,509612,510363,NA,1,NA,NA,NA,NA,FEM,509397,509787,2,505358,508164,FEM,511403,512049,1,NA,NA,6,FEM,505358,FEM,512049,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,547947,548079,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,548036,548870,1,NA,NA,7,KCHI,547947,FEM,548870,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,582395,583293,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAL,583644,585009,1,NA,NA,8,KCHI,582395,MAL,585009,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,602156,602325,NA,2,NA,NA,603565,604709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,KCHI,602156,MAL,605542,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,603565,604709,NA,2,602156,602325,NA,NA,NA,NA,NA,NA,NA,NA,MAL,605103,605542,1,NA,NA,9,KCHI,602156,MAL,605542,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,611318,612228,NA,1,NA,NA,NA,NA,FEM,608257,609757,1,NA,NA,FEM,611596,615314,1,NA,NA,10,FEM,608257,FEM,615314,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,652752,656826,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FEM,658602,659103,1,NA,NA,11,KCHI,652752,SPEECH,670772,NA,NA,NA,1
KCHI,annotated-13993_45847274-1,660004,662653,NA,1,NA,NA,NA,NA,FEM,658602,659103,1,NA,NA,SPEECH,661675,670772,1,NA,NA,11,KCHI,652752,SPEECH,670772,NA,NA,NA,1
